Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
WeWork Place de l'Europe	Nous vous proposons une superbe adresse dans l'un des quartiers les plus prisés de Paris. L'espace de coworking WeWork Place de l'Europe est le lieu de prédilection pour les entreprises établies comme pour les entrepreneurs indépendants. Quelle que soit leur taille, les équipes se sentiront comme chez elles dans notre espace ouvert aux chiens qui s'étend sur les 16 étages du bâtiment. Les membres peuvent profiter de vastes espaces communs, de cabines téléphoniques et de bureaux privés, mais aussi des services habituels de WeWork tels que le personnel sur place, les postes d'impression entièrement équipés et les cabines téléphoniques privées. Avec ses nombreux restaurants, bars et divertissements à proximité, le quartier des Batignolles offre toujours la possibilité de découvrir quelque chose de nouveau après le travail. L'établissement est également très bien desservi par les transports en commun (notamment les lignes de métro M3, M12, M13, M14, M2 et M9) et vous permettra de rester aisément connecté au réseau de transport de la ville.	7 rue de Madrid, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7545/centre-d-affaires-paris-wework-place-de-l-europe	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		111	Non	Oui	
Deskeo Neuilly-sur-Seine	Deskeo ouvre un centre de bureau à Neuilly-sur-Seine, simple à louer et flexible. Vous disposerez d’un hall d’accueil à la décoration végétale, d’espaces conviviaux design à chaque étage mais surtout de bureaux modernes et lumineux, dotés de grandes fenêtres, avec vue à 360 degrés sur l’ouest parisien. Enfin, notre rooftop vous accueillera pour des instants de relaxation et de détente. Tout est pensé pour vous offrir un environnement de travail chaleureux et source de bien-être.	7 Rue de Chartres, 92200 Neuilly-sur-Seine	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7265/coworking-neuilly-sur-seine-deskeo-neuilly-sur-seine	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	24h/24	Coworking	1000	101	Oui	Oui	
Regus Montévrain - Gare Val d'Europe	Un centre d’affaires au 3ème étage d’un immeuble contemporain idéalement situé à proximité de la Gare du Val d’Europe. Construit dans le cadre du développement de Disneyland Paris, le quartier d’affaires Gare Val d’Europe, Montévrain bénéficie d’un emplacement stratégique au cœur d’une zone en plein développement économique.Pour toute demande de domiciliation (bureaux), vous pouvez vous rendre ici => https://www.regus.fr/virtual-office	14 Avenue de l'Europe, 77144 Montévrain	https://www.neo-nomade.com/mb-47-bnpp_re/espace/429/centre-d-affaires-montevrain-regus-montevrain-gare-val-d-europe		9h00 - 18h00	Centre d'affaires		210	Non	Oui	Espace confidentiel//Mise à disposition d'ordinateur//Accueil dédié//Secrétariat//Conciergerie//La pause café 3€/unité//La pause macaron 6€/unité//Le petit déjeuner 5.5€/unité//La pause boisson 4.5€/unité
Imagin'office Neuilly	Situé au pied du métro Sablons (ligne 1), à moins de 5 min de La Défense et de l'Etoile, notre nouvel espace de bureaux flexible éco-responsable vous accueille quotidiennement. Que vous soyez une Start-up digitale à la recherche de nouveaux locaux, une équipe projet à la recherche d'un plateau équipé, ou une service en quête de locaux inspirants, cet espace modulable à taille humaine de 430 m² est fait pour vous !Bénéficiez d'un espace privatif de 4 à 30 postes de travail et accédez à l'ensemble des services inclus : internet haut débit, salles de réunion, deux espaces cuisine, un lounge, des cabines de confidentialité pour vos appels privés, des imprimantes, des douches pour vos sorties sportives...Contactez-nous pour plus d'infos ou pour organiser une visite !	93, avenue Charles de Gaulle, 92200 Neuilly-sur-Seine	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8387/centre-d-affaires-neuilly-sur-seine-imagin-office-neuilly	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	24h/24	Centre d'affaires		 430 m2	Oui	Oui	Box de confidentialité//Imprimante//Wifi sécurisé haut débit 200 mbps//Scanner//Vestiaire//Visio-conférence//Écran//Équipement de cuisine//Accueil dédié//Gestion du courrier//Douches//Casier 10€/mois//Café du barista 1.5€/unité//Domiciliation juridique 50€/mois
Le Well Lab	Le Well Lab est un hub de travail pour les porteurs de projet.Nous vous proposons un espace atypique pour organiser vos ateliers, vos formations, vos séminaires ou tout autre événement corporate.Nous sommes situés en plein cœur de Paris, tout près de la Place des Ternes, de l'Etoile ou encore du Parc Monceau.La salle principale, sous une verrière zénithale, peut accueillir jusqu'à 50 personnes debout, 25 personnes assises en salle de classe, 35 personnes en théâtre ou 15 personnes en workshop. Vous pourrez proposer à vos participants un espace clair, atypique et très bien situé. L'esprit comme à la maison plaira et donnera une image de proximité à vos événements.Le Well Lab est une association loi 1901. Nous mettons à disposition des entrepreneurs un lieu agréable, des services mutualisés et des commodités, dans un espace à taille humaine en plein coeur de Paris.Locaux adaptés à 80% aux personnes en situation de handicap.	10 RUE DES RENAUDES, 75017 PARIS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5955/coworking-paris-le-well-lab	Internet haut débit//Accès handicapé//Espace pause//Climatisation	9h00 - 21h30	Coworking	120	141	Non	Oui	Table de réunion//Boissons chaudes//Thé//Café//Paper board//Salle d'eau//Kit créativité//Vestiaire//Video projecteur
Work in Paris - Trinité	Fond de cour, interphone Work in Paris, étage RP	20 rue jean-baptiste pigalle, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5009/coworking-paris-work-in-paris-trinite	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 17h00	Coworking		111	Oui	Oui	Table de réunion//Scanner//Tableaux//Vidéo-projecteur//Écran//Écran//2 x micro-ondes et un frigo//Accueil dédié//Imprimante 0.05€/unité 0.15€/unité
Start-Way Ternes	2 Bureaux	27 Rue des Renaudes, 75017 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6785/coworking-paris-start-way-ternes	Internet haut débit//Une personne à l'accueil	8h00 - 18h00	Coworking		101	Non	Oui	
Le Laptop	PLAISIR, TRAVAIL, LAPTOPLibérez-vous des contraintes du travail au quotidien ! Intégrez Laptop ! Profitez d'un espace de travail, mais aussi d'un nouveau terrain de jeu dédié à chaque indépendant qui souhaite donner un nouvel élan créatif à sa vie professionnelle. Bienvenue à tous les spécialistes passionnés d'idées, d'images, de textes, de sons, d'objets interactifs (...) qui revendiquent un besoin de travailler de manière ponctuelle ou permanente dans un cadre calme, atypique et stimulant, en dehors de chez eux. LIEU DE VIE, ÉCHANGES, BUSINESSVous n'allez pas au bureau, vous participez à une dynamique de travail propice à votre épanouissement professionnel :• vous intégrez une communauté créative et participative : ensemble nous créons des synergies, nous échangeons & nous partageons nos expériences, ...• ensemble, nous multiplions les opportunités de business à court et long terme,• vous cassez la routine et sortez de l’isolement,• on vous donne un coup de main pour répondre à vos besoins et réaliser vos projets (optimisation de votre cv, appels à projets, mise en relation...)• on s’occupe de vous, profitez de services clés en main (casier, accès 24/7, salle de réunion, cuisine, téléphone, serveur FTP, impressions, domiciliation, consultations...)• on accueille toutes les initiatives de projets, d’expositions, de formations, de conférences, d’ateliers, d’évènements, de partenariats...N’hésitez pas à venir nous en parler, nous sommes ouverts !CADRE, CALME, DOUCEURSRendez-vous à Jourdain, quartier en vogue de l’est parisien, à deux pas des Buttes Chaumont et des maisonnettes de la Mouzaïa pour découvrir Laptop et son espace de travail convivial. Le quartier regorge de cafés, de restaurants abordables et de qualité, de magasins de bouche et de fameuses boulangeries. Le lieu est situé dans une belle allée où le printemps s’annonce prometteur... Laptop dispose d’une salle de réunion qui peut faire office de salle d’appel, d’une grande cuisine aménagée, d’un salon et de 20 bureaux. Découvrez les formules de location et les services plus bas.	6 rue Arthur Rozier, 75019 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/1727/coworking-paris-le-laptop	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 19h00	Coworking	160	219	Non	Oui	Pauses//Rangements sécurisés//Ecrans//Scanner//Téléphones fixe//Vestiaire//Vidéo projecteur//Four micro-onde et petite vaisselle//Mise en place de la salle//Accès 24/7//Déjeuner 25€/unité//Petit déjeuner 7€/unité//Imprimante noir et blanc ou couleur 0.1€/unité 0.3€/unité//Gestion du courrier 20€/mois
Deskeo Bruyère	L'immeuble possède six étages très lumineux. Il bénéficie d'un accueil moderne et d'un superbe rooftop. La localisation centrale de ce bien lui confère un atout supplémentaire. En effet, il se situe à seulement 10 minutes à pied de la Gare Saint-Lazare. Par ailleurs, cet espace est idéal pour accueillir une seule entreprise de taille conséquente. Il a une capacité pouvant aller jusqu'à 200 postes.	48 rue la Bruyère, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8725/coworking-paris-deskeo-bruyere	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 18h00	Coworking		400	Non	Oui	
WeWork Navarin (ouverture mars 2021)	2 Bureaux	18 rue de Navarin , 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7553/centre-d-affaires-paris-wework-navarin-ouverture-mars-2021	Internet haut débit//Une personne à l'accueil	8h00 - 18h00	Centre d'affaires		101	Non	Oui	
Regus Paris - Saint Lazare Amsterdam	Situé rue d'Amsterdam, cet immeuble typiquement parisien se trouve à quelques minutes de la Gare St Lazare et des principaux axes de transports en commun de la capitale. Nombreux commerces et restaurant à proximité immédiate.	57 Rue d'Amsterdam , 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8399/centre-d-affaires-paris-regus-paris-saint-lazare-amsterdam	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
MULTIBURO NEUILLY-SUR-SEINE	Ouvert à Neuilly en avril 2013, le premier espace de coworking | LE SPOT a été pensé comme un « tiers lieu urbain dans un environnement business » couvrant l’ensemble des besoins immobiliers de l’Entreprise, que l’on soit indépendant, télétravailleur, consultant, directeur commercial, directeur immobilier, créateur d’entreprise…Ce centre nouvelle génération - directement inspiré du modèle néerlandais et adapté au marché français - offre à ses clients la capacité d’utiliser plusieurs ambiances de travail dans une même journée en fonction de ses besoins : bureau privatif, coworking, lounge, box, salle de réunion, café central…	60 avenue Charles de Gaulle, 92000 Neuilly sur seine	https://www.neo-nomade.com/mb-47-bnpp_re/espace/1353/centre-d-affaires-neuilly-sur-seine-multiburo-neuilly-sur-seine	Internet haut débit//Une personne à l'accueil//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		297	Non	Oui	Espace confidentiel//Rangements sécurisés//Accueil dédié//Secrétariat//Gestion du courrier//Accès 24/7//Jus d'orange (8-10 personnes) 5€/unité//Thermos de café ou de thé (8-10 personnes) 10€/unité//Thermos café 10€/unité//Plateau repas 19€/unité//Déjeuner à l'extérieur (restaurant) 22€/unité//Pause biscuits 6.5€/unité//Pause viennoiseries 7€/unité//Impression n&b 0.15€/unité//Impression n&b pallier 2 0.12€/unité//Impression couleur 0.6€/unité//Impression couleur pallier 2 0.4€/unité//Sonorisation/ micro main 50€/unité//Option micro cravate supplémentaire 10€/unité//Parking 20€/journée//Tableau interactif 50€/unité//Videoprojecteur (demi-journée) 40€/unité//Videoprojecteur (journée) 60€/unité//Secrétariat 0.85€/unité
WeWork Saint-Lazare	Idéalement situé entre l'animation de South Pigalle et le calme des Batignolles, l'espace de coworking WeWork du quartier Saint-Lazare est l'endroit qu'il vous faut. Nous avons transformé les 10 étages de ce bâtiment historique en un espace de travail hautement fonctionnel comprenant des espaces de détente très lumineux, des salles de conférence uniques et des bureaux privés soignés. La décoration personnalisée et les plantes d'intérieur renforcent le charme du bâtiment, alors qu'une terrasse sur le toit offre des vues sur Paris. L'accès aux lignes de métro 2, 3, 13, 12 et 14, ainsi qu'au Transilien et à l'Intercités, facilite vos trajets domicile/travail, peu importe d'où vous venez. Si vous souhaitez développer vos activités en compagnie d'un réseau de professionnels dynamique, l'espace de coworking WeWork du quartier Saint-Lazare vous plongera au cœur de l'action.	4 rue Jules Lefebvre, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7541/centre-d-affaires-paris-wework-saint-lazare	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		110	Non	Oui	
Cowork In Grenoble	Cowork in Grenoble, la communauté des freelances et des entrepreneurs.“Cowork in Grenoble” est un lieu pensé pour favoriser la créativité, la collaboration et la sérendipité.Un lieu où les travailleurs indépendants, les consultants et les travailleurs isolés peuvent venir travailler et louer leurs bureaux à la journée ou au mois.Enfin c’est un lieu ou les créateurs et les start-up trouveront toutes les ressources nécessaires pour maximiser leurs chances de réussite.	93 cours Berriat, 38000 Grenoble	https://www.neo-nomade.com/mb-47-bnpp_re/espace/2371/coworking-grenoble-cowork-in-grenoble	Internet haut débit	9h00 - 19h00	Coworking		124	Non	Oui	Rangements sécurisés//Téléphones fixe
Regus Val d'Europe - Gare Citalium	Val d'Europe, l'un des plus grands quartiers économiques de la région parisienne, est le siège du centre d'affaires Montévrain Citalium. Il occupe un bâtiment supérieur avec des finitions de qualité, des espaces de travail en plein soleil, une certification HQE (High Environment Quality) et des terrasses au quatrième étage avec une vue magnifique. La région abrite de nombreuses grandes entreprises, un leader mondial de l'imagerie et de l'informatique, et un géant français des télécoms. Le centre d'affaires est situé à Marne la Vallée, un haut lieu commercial à 35 km à l'est de Paris réputé pour sa superbe accessibilité. Le centre d'affaires est à quatre minutes de la gare RER où les voyageurs d'affaires peuvent rejoindre Paris en 30 minutes en TGV. L'aéroport Charles de Gaulle est à 10 minutes. Ce quartier d'affaires en pleine expansion est proche de l'autoroute A4 en direction est vers Nancy, Strasbourg et l'Allemagne.	1 Avenue de l'Europe , 77144 Montevrain	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8429/centre-d-affaires-montevrain-regus-val-d-europe-gare-citalium	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
